Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
51	-13.16949	-15.68151	2.512017	0.01762186	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219
52	-13.16949	-15.68151	2.512017	0.01762186	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219
53	-13.39626	-15.84287	2.446605	0.02158949	0.0215895	0.0215895	0.0215895	0.0215895	0.0215895	0.0215895
54	-13.60816	-16.01099	2.40283	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447
55	-13.31381	-15.78036	2.466544	0.02038008	0.0203801	0.0203801	0.0203801	0.0203801	0.0203801	0.0203801
56	-13.30275	-15.77218	2.469427	0.02020519	0.0202052	0.0202052	0.0202052	0.0202052	0.0202052	0.0202052
57	-13.78595	-16.15647	2.370523	0.02620433	0.0262043	0.0262043	0.0262043	0.0262043	0.0262043	0.0262043
58	-14.07598	-16.39831	2.322323	0.02912791	0.0291279	0.0291279	0.0291279	0.0291279	0.0291279	0.0291279
59	-14.88174	-17.08343	2.201683	0.03644546	0.0364455	0.0364455	0.0364455	0.0364455	0.0364455	0.0364455
60	-14.96827	-17.15758	2.189309	0.03719601	0.037196	0.037196	0.037196	0.037196	0.037196	0.037196
61	-13.96761	-16.30746	2.339849	0.02806489	0.0280649	0.0280649	0.0280649	0.0280649	0.0280649	0.0280649
62	-13.26728	-15.74641	2.479124	0.01961702	0.019617	0.019617	0.019617	0.019617	0.019617	0.019617
63	-13.10764	-15.66932	2.561676	0.01460976	0.0146098	0.0146098	0.0146098	0.0146098	0.0146098	0.0146098
64	-13.29051	-15.9199	2.62939	0.01050253	0.0105025	0.0105025	0.0105025	0.0105025	0.0105025	0.0105025
65	-13.18074	-15.78682	2.606073	0.01191681	0.0119168	0.0119168	0.0119168	0.0119168	0.0119168	0.0119168
66	-13.95718	-16.64663	2.689445	0.006859815	0.00685982	0.00685982	0.00685982	0.00685982	0.00685982	0.00685982
67	-13.61289	-16.279	2.666112	0.008275105	0.00827511	0.00827511	0.00827511	0.00827511	0.00827511	0.00827511
68	-13.27847	-15.90582	2.627356	0.01062587	0.0106259	0.0106259	0.0106259	0.0106259	0.0106259	0.0106259
69	-13.44412	-16.09408	2.649962	0.009254681	0.00925468	0.00925468	0.00925468	0.00925468	0.00925468	0.00925468
70	-13.36689	-16.00753	2.640634	0.009820492	0.00982049	0.00982049	0.00982049	0.00982049	0.00982049	0.00982049
71	-13.42208	-15.86288	2.440802	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415
72	-14.49217	-16.75064	2.258464	0.03300136	0.0330014	0.0330014	0.0330014	0.0330014	0.0330014	0.0330014
73	-13.54635	-15.96119	2.414835	0.02351653	0.0235165	0.0235165	0.0235165	0.0235165	0.0235165	0.0235165
74	-13.81532	-16.18075	2.36543	0.02651325	0.0265133	0.0265133	0.0265133	0.0265133	0.0265133	0.0265133
75	-15.19611	-17.35312	2.157006	0.03915537	0.0391554	0.0391554	0.0391554	0.0391554	0.0391554	0.0391554
76	-14.57374	-16.82014	2.246397	0.03373327	0.0337333	0.0337333	0.0337333	0.0337333	0.0337333	0.0337333
77	-13.85175	-16.21094	2.359192	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916
78	-13.2222	-15.71498	2.492776	0.01878896	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789
79	-13.24328	-15.72945	2.486169	0.01918971	0.0191897	0.0191897	0.0191897	0.0191897	0.0191897	0.0191897
80	-13.12391	-15.6604	2.536495	0.01613713	0.0161371	0.0161371	0.0161371	0.0161371	0.0161371	0.0161371
81	-13.16755	-15.68039	2.51284	0.01757196	0.017572	0.017572	0.017572	0.017572	0.017572	0.017572
82	-13.16162	-15.67704	2.515423	0.01741525	0.0174153	0.0174153	0.0174153	0.0174153	0.0174153	0.0174153
83	-13.2699	-15.74828	2.47838	0.01966213	0.0196621	0.0196621	0.0196621	0.0196621	0.0196621	0.0196621
84	-13.28006	-15.7556	2.475545	0.01983414	0.0198341	0.0198341	0.0198341	0.0198341	0.0198341	0.0198341
85	-13.92168	-16.26911	2.347433	0.02760483	0.0276048	0.0276048	0.0276048	0.0276048	0.0276048	0.0276048
86	-13.18611	-15.6915	2.50539	0.01802387	0.0180239	0.0180239	0.0180239	0.0180239	0.0180239	0.0180239
87	-13.48912	-15.91556	2.42644	0.02281259	0.0228126	0.0228126	0.0228126	0.0228126	0.0228126	0.0228126
88	-14.19078	-16.49501	2.304237	0.03022492	0.0302249	0.0302249	0.0302249	0.0302249	0.0302249	0.0302249
89	-13.19711	-15.69844	2.501331	0.01827006	0.0182701	0.0182701	0.0182701	0.0182701	0.0182701	0.0182701
90	-13.30139	-15.93254	2.631155	0.01039549	0.0103955	0.0103955	0.0103955	0.0103955	0.0103955	0.0103955
91	-13.6667	-16.33714	2.670431	0.008013149	0.00801315	0.00801315	0.00801315	0.00801315	0.00801315	0.00801315
92	-13.57936	-16.2426	2.663248	0.008448814	0.00844881	0.00844881	0.00844881	0.00844881	0.00844881	0.00844881
93	-13.52869	-16.18732	2.65863	0.008728918	0.00872892	0.00872892	0.00872892	0.00872892	0.00872892	0.00872892
94	-13.94329	-16.63195	2.688663	0.006907251	0.00690725	0.00690725	0.00690725	0.00690725	0.00690725	0.00690725
95	-13.16413	-15.76508	2.600945	0.01222787	0.0122279	0.0122279	0.0122279	0.0122279	0.0122279	0.0122279
96	-13.15954	-15.75892	2.59938	0.01232281	0.0123228	0.0123228	0.0123228	0.0123228	0.0123228	0.0123228
