Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
50	0	-14.1167	-16.43256	2.315857	0.02952012	0.0295201	0.0295201	0.0295201	0.0295201	0.0295201	0.0295201
51	1	-13.29021	-15.91955	2.629339	0.01050558	0.0105056	0.0105056	0.0105056	0.0105056	0.0105056	0.0105056
52	0	-13.31162	-15.77873	2.46711	0.02034572	0.0203457	0.0203457	0.0203457	0.0203457	0.0203457	0.0203457
53	1	-13.16891	-15.7714	2.602499	0.01213362	0.0121336	0.0121336	0.0121336	0.0121336	0.0121336	0.0121336
54	0	-13.18016	-15.68785	2.507689	0.01788437	0.0178844	0.0178844	0.0178844	0.0178844	0.0178844	0.0178844
55	1	-13.1265	-15.66108	2.534578	0.01625343	0.0162534	0.0162534	0.0162534	0.0162534	0.0162534	0.0162534
56	0	-13.23947	-15.7268	2.487331	0.01911925	0.0191192	0.0191192	0.0191192	0.0191192	0.0191192	0.0191192
57	1	-13.15842	-15.67529	2.516866	0.01732775	0.0173278	0.0173278	0.0173278	0.0173278	0.0173278	0.0173278
58	0	-13.13135	-15.71872	2.587365	0.01305156	0.0130516	0.0130516	0.0130516	0.0130516	0.0130516	0.0130516
59	1	-14.02183	-16.35285	2.33102	0.02860037	0.0286004	0.0286004	0.0286004	0.0286004	0.0286004	0.0286004
60	0	-13.11747	-15.69558	2.578111	0.01361286	0.0136129	0.0136129	0.0136129	0.0136129	0.0136129	0.0136129
61	1	-14.32119	-16.60536	2.284168	0.03144225	0.0314422	0.0314422	0.0314422	0.0314422	0.0314422	0.0314422
62	0	-13.16523	-15.76654	2.601308	0.01220583	0.0122058	0.0122058	0.0122058	0.0122058	0.0122058	0.0122058
63	1	-13.14288	-15.7358	2.592919	0.01271469	0.0127147	0.0127147	0.0127147	0.0127147	0.0127147	0.0127147
64	0	-13.82185	-16.5032	2.681345	0.007351162	0.00735116	0.00735116	0.00735116	0.00735116	0.00735116	0.00735116
65	1	-13.29056	-15.76324	2.472677	0.02000807	0.0200081	0.0200081	0.0200081	0.0200081	0.0200081	0.0200081
66	0	-13.4271	-16.07514	2.648042	0.009371181	0.00937118	0.00937118	0.00937118	0.00937118	0.00937118	0.00937118
67	1	-13.11242	-15.66012	2.547697	0.01545768	0.0154577	0.0154577	0.0154577	0.0154577	0.0154577	0.0154577
68	0	-13.26208	-15.88652	2.62444	0.01080273	0.0108027	0.0108027	0.0108027	0.0108027	0.0108027	0.0108027
69	1	-14.14968	-16.46034	2.310663	0.0298352	0.0298352	0.0298352	0.0298352	0.0298352	0.0298352	0.0298352
70	0	-13.11594	-15.65947	2.543533	0.01571023	0.0157102	0.0157102	0.0157102	0.0157102	0.0157102	0.0157102
71	1	-13.59397	-15.99951	2.405543	0.02408013	0.0240801	0.0240801	0.0240801	0.0240801	0.0240801	0.0240801
72	0	-13.19008	-15.79875	2.608662	0.01175977	0.0117598	0.0117598	0.0117598	0.0117598	0.0117598	0.0117598
73	1	-13.46075	-15.89315	2.432406	0.02245076	0.0224508	0.0224508	0.0224508	0.0224508	0.0224508	0.0224508
74	0	-13.1111	-15.68224	2.571132	0.01403619	0.0140362	0.0140362	0.0140362	0.0140362	0.0140362	0.0140362
75	1	-13.10776	-15.66609	2.558339	0.01481216	0.0148122	0.0148122	0.0148122	0.0148122	0.0148122	0.0148122
76	0	-13.1527	-15.74959	2.596893	0.01247364	0.0124736	0.0124736	0.0124736	0.0124736	0.0124736	0.0124736
77	1	-13.10776	-15.66609	2.558339	0.01481216	0.0148122	0.0148122	0.0148122	0.0148122	0.0148122	0.0148122
78	0	-13.1527	-15.74959	2.596893	0.01247364	0.0124736	0.0124736	0.0124736	0.0124736	0.0124736	0.0124736
79	1	-13.42592	-15.86587	2.439951	0.02199309	0.0219931	0.0219931	0.0219931	0.0219931	0.0219931	0.0219931
80	0	-14.28239	-16.98765	2.70526	0.005900563	0.00590056	0.00590056	0.00590056	0.00590056	0.00590056	0.00590056
81	1	-14.61706	-16.8571	2.240032	0.03411934	0.0341193	0.0341193	0.0341193	0.0341193	0.0341193	0.0341193
82	0	-13.66384	-16.33405	2.670209	0.008026617	0.00802662	0.00802662	0.00802662	0.00802662	0.00802662	0.00802662
83	1	-14.63978	-16.87648	2.236706	0.0343211	0.0343211	0.0343211	0.0343211	0.0343211	0.0343211	0.0343211
84	0	-14.17324	-16.87366	2.700421	0.006194099	0.0061941	0.0061941	0.0061941	0.0061941	0.0061941	0.0061941
85	1	-14.68496	-16.91507	2.230112	0.03472106	0.0347211	0.0347211	0.0347211	0.0347211	0.0347211	0.0347211
86	0	-13.48544	-16.1398	2.654366	0.008987591	0.00898759	0.00898759	0.00898759	0.00898759	0.00898759	0.00898759
87	1	-14.96373	-17.15368	2.189957	0.03715669	0.0371567	0.0371567	0.0371567	0.0371567	0.0371567	0.0371567
88	0	-13.94935	-16.63836	2.689006	0.006886465	0.00688646	0.00688646	0.00688646	0.00688646	0.00688646	0.00688646
89	1	-14.0844	-16.40539	2.320981	0.02920932	0.0292093	0.0292093	0.0292093	0.0292093	0.0292093	0.0292093
90	0	-13.63302	-16.30078	2.667765	0.008174828	0.00817483	0.00817483	0.00817483	0.00817483	0.00817483	0.00817483
91	1	-14.39603	-16.66887	2.272842	0.03212921	0.0321292	0.0321292	0.0321292	0.0321292	0.0321292	0.0321292
92	0	-13.63302	-16.30078	2.667765	0.008174828	0.00817483	0.00817483	0.00817483	0.00817483	0.00817483	0.00817483
93	1	-13.86072	-16.21839	2.357668	0.02698404	0.026984	0.026984	0.026984	0.026984	0.026984	0.026984
94	0	-13.25599	-15.8793	2.623308	0.01087143	0.0108714	0.0108714	0.0108714	0.0108714	0.0108714	0.0108714
95	1	-14.56626	-16.81376	2.247499	0.03366644	0.0336664	0.0336664	0.0336664	0.0336664	0.0336664	0.0336664
96	0	-13.43748	-16.0867	2.649221	0.00929965	0.00929965	0.00929965	0.00929965	0.00929965	0.00929965	0.00929965
97	1	-14.23723	-16.53426	2.297037	0.03066169	0.0306617	0.0306617	0.0306617	0.0306617	0.0306617	0.0306617
98	0	-13.13552	-15.72504	2.589516	0.01292109	0.0129211	0.0129211	0.0129211	0.0129211	0.0129211	0.0129211
99	1	-13.66169	-16.05449	2.392794	0.02485342	0.0248534	0.0248534	0.0248534	0.0248534	0.0248534	0.0248534
100	0	-13.32746	-15.79053	2.463065	0.02059107	0.0205911	0.0205911	0.0205911	0.0205911	0.0205911	0.0205911
101	1	-13.3508	-15.8081	2.457296	0.020941	0.020941	0.020941	0.020941	0.020941	0.020941	0.020941
102	0	-13.37797	-15.8288	2.45083	0.02133324	0.0213332	0.0213332	0.0213332	0.0213332	0.0213332	0.0213332
103	1	-13.16949	-15.68151	2.512017	0.01762186	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219
104	0	-13.35276	-15.80959	2.456821	0.02096984	0.0209698	0.0209698	0.0209698	0.0209698	0.0209698	0.0209698
105	1	-13.16949	-15.68151	2.512017	0.01762186	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219	0.0176219
106	0	-13.30393	-15.77305	2.469117	0.02022399	0.020224	0.020224	0.020224	0.020224	0.020224	0.020224
107	1	-13.39626	-15.84287	2.446605	0.02158949	0.0215895	0.0215895	0.0215895	0.0215895	0.0215895	0.0215895
108	0	-13.26573	-15.74529	2.479567	0.01959015	0.0195902	0.0195902	0.0195902	0.0195902	0.0195902	0.0195902
109	1	-13.60816	-16.01099	2.40283	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447	0.0242447
110	0	-13.12922	-15.71541	2.586188	0.01312297	0.013123	0.013123	0.013123	0.013123	0.013123	0.013123
111	1	-13.31381	-15.78036	2.466544	0.02038008	0.0203801	0.0203801	0.0203801	0.0203801	0.0203801	0.0203801
112	0	-13.46882	-16.12146	2.652637	0.009092463	0.00909246	0.00909246	0.00909246	0.00909246	0.00909246	0.00909246
113	1	-13.30275	-15.77218	2.469427	0.02020519	0.0202052	0.0202052	0.0202052	0.0202052	0.0202052	0.0202052
114	0	-13.52243	-16.18047	2.658033	0.00876517	0.00876517	0.00876517	0.00876517	0.00876517	0.00876517	0.00876517
115	1	-13.78595	-16.15647	2.370523	0.02620433	0.0262043	0.0262043	0.0262043	0.0262043	0.0262043	0.0262043
116	0	-14.41775	-17.12849	2.710737	0.00556832	0.00556832	0.00556832	0.00556832	0.00556832	0.00556832	0.00556832
117	1	-14.07598	-16.39831	2.322323	0.02912791	0.0291279	0.0291279	0.0291279	0.0291279	0.0291279	0.0291279
118	0	-13.4207	-16.068	2.647301	0.009416103	0.0094161	0.0094161	0.0094161	0.0094161	0.0094161	0.0094161
119	1	-14.88174	-17.08343	2.201683	0.03644546	0.0364455	0.0364455	0.0364455	0.0364455	0.0364455	0.0364455
120	0	-13.14961	-15.74531	2.5957	0.01254603	0.012546	0.012546	0.012546	0.012546	0.012546	0.012546
121	1	-14.96827	-17.15758	2.189309	0.03719601	0.037196	0.037196	0.037196	0.037196	0.037196	0.037196
122	0	-13.13704	-15.66485	2.527818	0.01666346	0.0166635	0.0166635	0.0166635	0.0166635	0.0166635	0.0166635
123	1	-13.96761	-16.30746	2.339849	0.02806489	0.0280649	0.0280649	0.0280649	0.0280649	0.0280649	0.0280649
124	0	-13.22895	-15.84685	2.617901	0.01119941	0.0111994	0.0111994	0.0111994	0.0111994	0.0111994	0.0111994
125	1	-13.26728	-15.74641	2.479124	0.01961702	0.019617	0.019617	0.019617	0.019617	0.019617	0.019617
126	0	-13.82132	-16.50263	2.68131	0.007353236	0.00735324	0.00735324	0.00735324	0.00735324	0.00735324	0.00735324
127	1	-13.10764	-15.66932	2.561676	0.01460976	0.0146098	0.0146098	0.0146098	0.0146098	0.0146098	0.0146098
128	0	-13.13151	-15.6627	2.531196	0.01645854	0.0164585	0.0164585	0.0164585	0.0164585	0.0164585	0.0164585
129	1	-13.29051	-15.9199	2.62939	0.01050253	0.0105025	0.0105025	0.0105025	0.0105025	0.0105025	0.0105025
130	0	-13.66196	-16.0547	2.392746	0.02485637	0.0248564	0.0248564	0.0248564	0.0248564	0.0248564	0.0248564
131	1	-13.18074	-15.78682	2.606073	0.01191681	0.0119168	0.0119168	0.0119168	0.0119168	0.0119168	0.0119168
132	0	-13.8663	-16.22302	2.356723	0.02704136	0.0270414	0.0270414	0.0270414	0.0270414	0.0270414	0.0270414
133	1	-13.95718	-16.64663	2.689445	0.006859815	0.00685982	0.00685982	0.00685982	0.00685982	0.00685982	0.00685982
134	0	-14.24935	-16.54452	2.295166	0.03077512	0.0307751	0.0307751	0.0307751	0.0307751	0.0307751	0.0307751
135	1	-13.61289	-16.279	2.666112	0.008275105	0.00827511	0.00827511	0.00827511	0.00827511	0.00827511	0.00827511
136	0	-15.65336	-17.74631	2.092959	0.04304017	0.0430402	0.0430402	0.0430402	0.0430402	0.0430402	0.0430402
137	1	-13.27847	-15.90582	2.627356	0.01062587	0.0106259	0.0106259	0.0106259	0.0106259	0.0106259	0.0106259
138	0	-15.53799	-17.64705	2.109054	0.04206395	0.0420639	0.0420639	0.0420639	0.0420639	0.0420639	0.0420639
139	1	-13.44412	-16.09408	2.649962	0.009254681	0.00925468	0.00925468	0.00925468	0.00925468	0.00925468	0.00925468
140	0	-13.3208	-15.78555	2.464753	0.02048873	0.0204887	0.0204887	0.0204887	0.0204887	0.0204887	0.0204887
141	1	-13.36689	-16.00753	2.640634	0.009820492	0.00982049	0.00982049	0.00982049	0.00982049	0.00982049	0.00982049
142	0	-14.34146	-16.62255	2.281089	0.03162902	0.031629	0.031629	0.031629	0.031629	0.031629	0.031629
143	1	-13.42208	-15.86288	2.440802	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415	0.0219415
144	0	-13.48239	-15.91023	2.427842	0.02272758	0.0227276	0.0227276	0.0227276	0.0227276	0.0227276	0.0227276
145	1	-14.49217	-16.75064	2.258464	0.03300136	0.0330014	0.0330014	0.0330014	0.0330014	0.0330014	0.0330014
146	0	-13.10777	-15.67066	2.562887	0.01453629	0.0145363	0.0145363	0.0145363	0.0145363	0.0145363	0.0145363
147	1	-13.54635	-15.96119	2.414835	0.02351653	0.0235165	0.0235165	0.0235165	0.0235165	0.0235165	0.0235165
148	0	-13.1123	-15.68507	2.572768	0.01393694	0.0139369	0.0139369	0.0139369	0.0139369	0.0139369	0.0139369
149	1	-13.81532	-16.18075	2.36543	0.02651325	0.0265133	0.0265133	0.0265133	0.0265133	0.0265133	0.0265133
150	0	-13.16147	-15.67696	2.515488	0.01741133	0.0174113	0.0174113	0.0174113	0.0174113	0.0174113	0.0174113
151	1	-15.19611	-17.35312	2.157006	0.03915537	0.0391554	0.0391554	0.0391554	0.0391554	0.0391554	0.0391554
152	0	-13.13957	-15.66594	2.526367	0.01675148	0.0167515	0.0167515	0.0167515	0.0167515	0.0167515	0.0167515
153	1	-14.57374	-16.82014	2.246397	0.03373327	0.0337333	0.0337333	0.0337333	0.0337333	0.0337333	0.0337333
154	0	-13.15491	-15.75262	2.597716	0.01242371	0.0124237	0.0124237	0.0124237	0.0124237	0.0124237	0.0124237
155	1	-13.85175	-16.21094	2.359192	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916	0.0268916
156	0	-13.11669	-15.6941	2.577417	0.01365501	0.013655	0.013655	0.013655	0.013655	0.013655	0.013655
157	1	-13.2222	-15.71498	2.492776	0.01878896	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789
