Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
0	-14.51872	-16.77325	2.254524	0.03324033	0.0332403	0.0332403	0.0332403	0.0332403	0.0332403	0.0332403
1	-13.68531	-16.07377	2.388459	0.02511638	0.0251164	0.0251164	0.0251164	0.0251164	0.0251164	0.0251164
2	-13.21963	-15.71324	2.493615	0.01873804	0.018738	0.018738	0.018738	0.018738	0.018738	0.018738
3	-13.12888	-15.71486	2.585989	0.01313503	0.013135	0.013135	0.013135	0.013135	0.013135	0.013135
4	-13.58269	-15.9904	2.407719	0.02394818	0.0239482	0.0239482	0.0239482	0.0239482	0.0239482	0.0239482
5	-13.96198	-16.30275	2.340773	0.02800885	0.0280088	0.0280088	0.0280088	0.0280088	0.0280088	0.0280088
6	-13.74216	-16.12039	2.378229	0.02573693	0.0257369	0.0257369	0.0257369	0.0257369	0.0257369	0.0257369
7	-14.16887	-16.47653	2.307655	0.03001763	0.0300176	0.0300176	0.0300176	0.0300176	0.0300176	0.0300176
8	-13.22584	-15.71744	2.491602	0.01886016	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602
9	-13.80723	-16.17405	2.366828	0.02642843	0.0264284	0.0264284	0.0264284	0.0264284	0.0264284	0.0264284
10	-13.10797	-15.67196	2.563993	0.01446923	0.0144692	0.0144692	0.0144692	0.0144692	0.0144692	0.0144692
11	-13.31554	-15.78164	2.4661	0.020407	0.020407	0.020407	0.020407	0.020407	0.020407	0.020407
12	-13.66975	-16.06106	2.39131	0.02494348	0.0249435	0.0249435	0.0249435	0.0249435	0.0249435	0.0249435
13	-13.52706	-15.94575	2.418689	0.02328276	0.0232828	0.0232828	0.0232828	0.0232828	0.0232828	0.0232828
14	-13.1092	-15.66242	2.553223	0.01512249	0.0151225	0.0151225	0.0151225	0.0151225	0.0151225	0.0151225
15	-13.24122	-15.72802	2.486794	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518	0.0191518
16	-13.11031	-15.68017	2.569865	0.01411304	0.014113	0.014113	0.014113	0.014113	0.014113	0.014113
17	-13.11027	-15.66131	2.551044	0.01525469	0.0152547	0.0152547	0.0152547	0.0152547	0.0152547	0.0152547
18	-13.19842	-15.80925	2.610832	0.01162816	0.0116282	0.0116282	0.0116282	0.0116282	0.0116282	0.0116282
19	-13.24178	-15.7284	2.486625	0.01916203	0.019162	0.019162	0.019162	0.019162	0.019162	0.019162
20	-13.18426	-15.69036	2.506096	0.01798099	0.017981	0.017981	0.017981	0.017981	0.017981	0.017981
21	-13.64267	-16.039	2.396325	0.02463925	0.0246393	0.0246393	0.0246393	0.0246393	0.0246393	0.0246393
