"anc_state_1_pp"	"anc_state_2_pp"	"anc_state_3_pp"
"27"	0.816518348165183	0.0973902609739026	0.0860913908609139
"28"	0.795420457954205	0.110938906109389	0.0936406359364064
"29"	0.857564243575642	0.119288071192881	0.0231476852314769
"30"	0.840915908409159	0.134786521347865	0.0242975702429757
"31"	0.994550544945505	0.0038996100389961	0.00154984501549845
"32"	0.999350064993501	0.00034996500349965	0.0002999700029997
"33"	1	0	0
"34"	0.9999500049995	4.999500049995e-05	0
"35"	1	0	0
"36"	0.9999500049995	4.999500049995e-05	0
"37"	0.999900009999	4.999500049995e-05	4.999500049995e-05
"38"	0.999450054994501	0.0002999700029997	0.00024997500249975
"39"	0.794320567943206	0.117238276172383	0.0884411558844116
"40"	0.778572142785721	0.153634636536346	0.0677932206779322
"41"	0.974902509749025	0.0213978602139786	0.0036996300369963
"42"	0.998600139986001	0.00094990500949905	0.00044995500449955
"43"	0.996250374962504	0.00304969503049695	0.0006999300069993
"44"	0.978752124787521	0.0121987801219878	0.00904909509049095
"45"	0.867763223677632	0.117138286171383	0.0150984901509849
"46"	0.995250474952505	0.00364963503649635	0.0010998900109989
"47"	0.997850214978502	0.0014998500149985	0.00064993500649935
"48"	0.998150184981502	0.0010998900109989	0.00074992500749925
"49"	0.94015598440156	0.0315968403159684	0.0282471752824718
"50"	0.992650734926507	0.0042995700429957	0.00304969503049695
"51"	0.997150284971503	0.00154984501549845	0.0012998700129987
